track_id,track_name,track_artist,track_album_release_year,playlist_genre,playlist_subgenre,key,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms
7ny2ATvjtKszCpLpfsGnVQ,A Hard Rain's A-Gonna Fall,Bob Dylan,1963,rock,album rock,4,0.567,0.198,-18.681,0.0327,0.919,0.135,0.321,92.467,412200
3okPiJwW5nCLpug12sCL4p,All Day and All of the Night,The Kinks,1964,rock,album rock,7,0.563,0.915,-5.062,0.08,0.247,0.0613,0.71,136.345,142227
3okPiJwW5nCLpug12sCL4p,All Day and All of the Night,The Kinks,1964,rock,classic rock,7,0.563,0.915,-5.062,0.08,0.247,0.0613,0.71,136.345,142227
78JmElAFmrPNhLjovDR9Jm,All Day and All of the Night,The Kinks,1964,rock,permanent wave,7,0.551,0.86,-7.839,0.0796,0.262,0.0558,0.723,136.921,141507
5y788ya4NvwhBznoDIcXwK,The Sound of Silence - Acoustic Version,Simon & Garfunkel,1964,rock,permanent wave,6,0.525,0.216,-13.551,0.0301,0.837,0.107,0.328,106.761,185413
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,rock,album rock,2,0.723,0.863,-7.89,0.0338,0.0383,0.128,0.931,136.302,222813
0AyAhgf2sihNnGt1ymLhg2,My Death,Scott Walker,1967,rock,permanent wave,4,0.255,0.372,-16.437,0.0424,0.291,0.269,0.392,82.417,297480
4vpeKl0vMGdAXpZiQB2Dtd,White Rabbit,Jefferson Airplane,1967,rock,permanent wave,2,0.551,0.293,-12.503,0.0272,0.486,0.0864,0.322,106.798,150640
6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),The Doors,1967,rock,classic rock,9,0.421,0.751,-9.584,0.0472,0.2,0.17,0.789,89.839,145867
6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),The Doors,1967,rock,album rock,9,0.421,0.751,-9.584,0.0472,0.2,0.17,0.789,89.839,145867
3lX49Bqy21Y5HneUJ7p55G,Sunday Morning,The Velvet Underground,1967,rock,permanent wave,5,0.505,0.427,-13.217,0.0278,0.0897,0.0802,0.477,105.816,175813
2g4LWy7YxrbWYA2RJP8nFk,The Black Angel's Death Song,The Velvet Underground,1967,rock,permanent wave,7,0.36,0.475,-9.891,0.0456,0.646,0.123,0.36,121.355,192053
0hKRSZhUGEhKU6aNSPBACZ,A Day In The Life - Remastered 2009,The Beatles,1967,rock,classic rock,4,0.364,0.457,-14.162,0.0675,0.29,0.922,0.175,163.219,337413
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,1967,rock,classic rock,7,0.491,0.583,-10.964,0.0376,0.182,0.407,0.907,150.572,183307
4XP7yeRNVAR3sAmgK0ZX9k,Brown Eyed Girl,Van Morrison,1967,rock,classic rock,7,0.491,0.583,-10.964,0.0376,0.182,0.407,0.907,150.572,183307
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,1967,rock,album rock,7,0.491,0.583,-10.964,0.0376,0.182,0.407,0.907,150.572,183307
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,Steppenwolf,1968,rock,classic rock,2,0.438,0.71,-12.412,0.0919,0.262,0.221,0.53,145.928,210373
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,Steppenwolf,1968,rock,album rock,2,0.438,0.71,-12.412,0.0919,0.262,0.221,0.53,145.928,210373
3lN8PP6R2IxbLP05QpYXng,Born To Be Wild - Single Version,Steppenwolf,1968,rock,classic rock,2,0.439,0.734,-12.168,0.097,0.262,0.244,0.54,145.703,212893
2GB8OypbvrvCee61FKx5dp,A Hazy Shade of Winter,Simon & Garfunkel,1968,rock,permanent wave,2,0.497,0.59,-11.203,0.0296,0.139,0.378,0.969,142.027,137480
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix,1968,rock,album rock,8,0.438,0.805,-6.237,0.0624,0.00255,0.0842,0.564,113.253,240800
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix,1968,rock,classic rock,8,0.438,0.805,-6.237,0.0624,0.00255,0.0842,0.564,113.253,240800
0Bs0hUYxz7REyIHH7tRhL2,Helter Skelter - Remastered 2009,The Beatles,1968,rock,permanent wave,9,0.166,0.831,-8.469,0.0894,6.06e-4,0.811,0.281,167.518,269787
6NWD6siQErobvmydHcmhCw,Crystal Blue Persuasion (45 Version),Tommy James & The Shondells,1969,rock,classic rock,9,0.63,0.292,-13.263,0.0389,0.243,0.484,0.765,99.348,229197
1nE78lQ7ix7XNrjuzTE4Jz,Born On The Bayou,Creedence Clearwater Revival,1969,rock,classic rock,9,0.656,0.601,-7.734,0.0389,0.0553,0.0974,0.576,117.296,315200
7MX4vfOgVipkrlMyBM2jEq,Cinnamon Girl,Neil Young,1969,rock,album rock,7,0.642,0.788,-6.388,0.0293,0.0192,0.105,0.742,104.643,179960
6NxsCnLeLd8Ai1TrgGxzIx,Bad Moon Rising,Creedence Clearwater Revival,1969,rock,classic rock,2,0.647,0.762,-5.856,0.0287,0.0599,0.0705,0.93,89.837,141600
